FinalID,OriginalTraitValue,unique_id,Temps,logB0,E,E_h,E_l,T_h,T_l,one_over_kt,index_panda,B0
MTD2442,284.95886,1,279.15,5.62561684106514,8.30481006902389e-09,4.15240503451195e-08,4.15240503451195e-09,303.15,279.15,3239526.51734942,1,284.95886
MTD2442,285.21886,1,285.15,5.62561684106514,8.30481006902389e-09,4.15240503451195e-08,4.15240503451195e-09,303.15,279.15,3309156.31890449,2,284.95886
MTD2442,285.50886,1,293.15,5.62561684106514,8.30481006902389e-09,4.15240503451195e-08,4.15240503451195e-09,303.15,279.15,3401996.05431124,3,284.95886
MTD2442,285.36886,1,299.15,5.62561684106514,8.30481006902389e-09,4.15240503451195e-08,4.15240503451195e-09,303.15,279.15,3471625.85586631,4,284.95886
MTD2442,285.74886,1,303.15,5.62561684106514,8.30481006902389e-09,4.15240503451195e-08,4.15240503451195e-09,303.15,279.15,3518045.72356969,5,284.95886
MTD2443,284.95886,2,273.15,5.62838128965262,7.57166041723351e-09,3.78583020861676e-08,3.78583020861676e-09,303.15,273.15,3169896.71579436,6,284.95886
MTD2443,285.09886,2,279.15,5.62838128965262,7.57166041723351e-09,3.78583020861676e-08,3.78583020861676e-09,303.15,273.15,3239526.51734942,7,284.95886
MTD2443,285.30886,2,285.15,5.62838128965262,7.57166041723351e-09,3.78583020861676e-08,3.78583020861676e-09,303.15,273.15,3309156.31890449,8,284.95886
MTD2443,285.33886,2,289.15,5.62838128965262,7.57166041723351e-09,3.78583020861676e-08,3.78583020861676e-09,303.15,273.15,3355576.18660787,9,284.95886
MTD2443,285.52886,2,293.15,5.62838128965262,7.57166041723351e-09,3.78583020861676e-08,3.78583020861676e-09,303.15,273.15,3401996.05431124,10,284.95886
MTD2443,285.68886,2,303.15,5.62838128965262,7.57166041723351e-09,3.78583020861676e-08,3.78583020861676e-09,303.15,273.15,3518045.72356969,11,284.95886
MTD2444,284.95886,3,283.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3285946.3850528,12,284.95886
MTD2444,284.95886,3,283.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3285946.3850528,13,284.95886
MTD2444,284.95886,3,283.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3285946.3850528,14,284.95886
MTD2444,285.09886,3,288.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3343971.21968202,15,284.95886
MTD2444,285.11886,3,288.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3343971.21968202,16,284.95886
MTD2444,285.11886,3,288.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3343971.21968202,17,284.95886
MTD2444,285.20886,3,293.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3401996.05431124,18,284.95886
MTD2444,285.20886,3,293.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3401996.05431124,19,284.95886
MTD2444,285.21886,3,293.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3401996.05431124,20,284.95886
MTD2444,285.19886,3,297.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3448415.92201462,21,284.95886
MTD2444,285.20886,3,297.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3448415.92201462,22,284.95886
MTD2444,285.21886,3,297.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3448415.92201462,23,284.95886
MTD2444,285.16886,3,300.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3483230.82279215,24,284.95886
MTD2444,285.21886,3,300.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3483230.82279215,25,284.95886
MTD2444,285.25886,3,300.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3483230.82279215,26,284.95886
MTD2444,284.95886,3,303.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3518045.72356969,27,284.95886
MTD2444,284.95886,3,303.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3518045.72356969,28,284.95886
MTD2444,284.95886,3,303.15,5.64882249525509,1.18827322777658e-09,5.94136613888291e-09,5.94136613888291e-10,303.15,283.15,3518045.72356969,29,284.95886
MTD2445,285.19886,4,288.15,5.6684212036489,4.42380290170408e-09,-2.21190145085204e-08,-2.21190145085204e-09,308.15,288.15,3343971.21968202,30,284.95886
MTD2445,285.30886,4,293.15,5.6684212036489,4.42380290170408e-09,-2.21190145085204e-08,-2.21190145085204e-09,308.15,288.15,3401996.05431124,31,284.95886
